@SampleID:marmgCAMI2_short_read_sample_0
@Version:0.9.1
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2157	superkingdom	2157	Archaea	14.481
2	superkingdom	2	Bacteria	85.519
1224	phylum	2|1224	Bacteria|Proteobacteria	68.990
651137	phylum	2157|651137	Archaea|Thaumarchaeota	0.541
1462430	phylum	2157|1462430	Archaea|Candidatus Nanohaloarchaeota	0.171
200918	phylum	2|200918	Bacteria|Thermotogae	0.370
976	phylum	2|976	Bacteria|Bacteroidetes	2.902
201174	phylum	2|201174	Bacteria|Actinobacteria	4.666
1117	phylum	2|1117	Bacteria|Cyanobacteria	2.702
1297	phylum	2|1297	Bacteria|Deinococcus-Thermus	0.853
203682	phylum	2|203682	Bacteria|Planctomycetes	0.057
1090	phylum	2|1090	Bacteria|Chlorobi	1.394
28889	phylum	2157|28889	Archaea|Crenarchaeota	6.771
1239	phylum	2|1239	Bacteria|Firmicutes	2.987
32066	phylum	2|32066	Bacteria|Fusobacteria	0.256
544448	phylum	2|544448	Bacteria|Tenericutes	0.057
192989	phylum	2157|192989	Archaea|Nanoarchaeota	0.313
200783	phylum	2|200783	Bacteria|Aquificae	0.199
28890	phylum	2157|28890	Archaea|Euryarchaeota	6.685
187857	class	2|200783|187857	Bacteria|Aquificae|Aquificae	0.199
183963	class	2157|28890|183963	Archaea|Euryarchaeota|Halobacteria	0.370
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	1.224
183924	class	2157|28889|183924	Archaea|Crenarchaeota|Thermoprotei	6.771
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	1.764
1051663	class	2157|1462430|1051663	Archaea|Candidatus Nanohaloarchaeota|Nanohaloarchaea	0.171
666505	class	2|203682|666505	Bacteria|Planctomycetes|Phycisphaerae	0.057
203490	class	2|32066|203490	Bacteria|Fusobacteria|Fusobacteriia	0.256
29547	class	2|1224|29547	Bacteria|Proteobacteria|Epsilonproteobacteria	3.329
183980	class	2157|28890|183980	Archaea|Euryarchaeota|Archaeoglobi	0.484
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	1.963
1937959	class	2|976|1937959	Bacteria|Bacteroidetes|Saprospiria	0.057
188787	class	2|1297|188787	Bacteria|Deinococcus-Thermus|Deinococci	0.853
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	0.768
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	8.790
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	54.765
768503	class	2|976|768503	Bacteria|Bacteroidetes|Cytophagia	0.683
183939	class	2157|28890|183939	Archaea|Euryarchaeota|Methanococci	0.285
84992	class	2|201174|84992	Bacteria|Actinobacteria|Acidimicrobiia	1.309
188708	class	2|200918|188708	Bacteria|Thermotogae|Thermotogae	0.370
191410	class	2|1090|191410	Bacteria|Chlorobi|Chlorobia	1.394
183968	class	2157|28890|183968	Archaea|Euryarchaeota|Thermococci	4.239
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	1.338
224756	class	2157|28890|224756	Archaea|Euryarchaeota|Methanomicrobia	1.109
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinobacteria	3.357
72273	order	2|1224|1236|72273	Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales	1.366
186802	order	2|1239|186801|186802	Bacteria|Firmicutes|Clostridia|Clostridiales	1.195
1161	order	2|1117||1161	Bacteria|Cyanobacteria||Nostocales	0.057
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	1.792
